Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A,Pts,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Num,Pct,Status
1,2018,2018-09-09,1,1,21.245,BAL,,BUF,W 47-3,,1,7,25.00,-1,0,0,52.1,0.0,5.57,6.00,0,0,0,0,0,0,1,0,0,1,0,0%,
2,2018,2018-09-13,2,2,21.249,BAL,@,CIN,L 23-34,,0,2,,0,0,0,,0.0,3.00,,0,0,0,0,,,0,0,0,0,0,0%,
3,2018,2018-09-23,3,3,21.259,BAL,,DEN,W 27-14,,0,0,,0,0,0,,0.0,,,0,0,0,0,,,0,0,0,0,0,0%,
4,2018,2018-09-30,4,4,21.266,BAL,@,PIT,W 26-14,,0,4,,0,0,0,,0.0,4.25,,0,0,0,0,,,0,0,0,0,0,0%,
5,2018,2018-10-07,5,5,21.273,BAL,@,CLE,L 9-12,,0,3,0.00,0,0,0,39.6,0.0,3.33,0.00,0,0,0,0,,,0,0,0,0,0,0%,
6,2018,2018-10-14,6,6,21.280,BAL,@,TEN,W 21-0,,0,1,,0,0,0,,0.0,22.00,,0,0,0,0,,,0,0,0,0,0,0%,
7,2018,2018-10-21,7,7,21.287,BAL,,NOR,L 23-24,,1,3,100.00,0,0,0,87.5,0.0,3.00,5.00,6,0,0,0,,,0,0,0,0,0,0%,
8,2018,2018-10-28,8,8,21.294,BAL,@,CAR,L 21-36,,4,3,80.00,0,0,0,144.6,0.0,8.67,13.20,0,0,0,0,,,0,0,0,0,0,0%,
9,2018,2018-11-04,9,9,21.301,BAL,,PIT,L 16-23,,1,5,100.00,-3,0,0,116.7,0.0,2.00,12.00,0,0,0,0,,,1,0,0,0,0,0%,
10,2018,2018-11-18,10,11,21.315,BAL,,CIN,W 24-21,*,13,26,68.42,-3,0,1,70.1,0.0,4.58,5.53,0,0,0,0,0,0,1,0,0,1,0,0%,
11,2018,2018-11-25,11,12,21.322,BAL,,OAK,W 34-17,*,14,11,56.00,-2,0,2,58.4,0.0,6.45,4.32,6,0,0,0,0,0,1,0,0,1,0,0%,
12,2018,2018-12-02,12,13,21.329,BAL,@,ATL,W 26-16,*,12,17,57.14,0,0,0,74.5,0.0,4.41,5.95,6,0,0,0,0,0,3,1,0,1,0,0%,
13,2018,2018-12-09,13,14,21.336,BAL,@,KAN,L 24-27,*,13,14,54.17,0,0,0,100.5,0.0,4.79,7.79,0,0,0,0,0,0,1,1,0,0,0,0%,
14,2018,2018-12-16,14,15,21.343,BAL,,TAM,W 20-12,*,14,18,60.87,-6,0,0,91.0,0.0,5.28,6.57,0,0,0,0,,,1,1,0,0,0,0%,
15,2018,2018-12-22,15,16,21.349,BAL,@,LAC,W 22-10,*,12,13,54.55,0,0,0,101.3,0.0,3.00,10.18,0,0,0,0,0,0,1,0,0,1,0,0%,
16,2018,2018-12-30,16,17,21.357,BAL,,CLE,W 26-24,*,14,20,58.33,-6,0,0,81.8,0.0,4.50,7.46,12,0,0,0,,,2,1,0,0,0,0%,
17,2019,2019-09-08,1,1,22.244,BAL,@,MIA,W 59-10,*,17,3,85.00,0,0,0,158.3,0.0,2.00,21.20,0,0,0,0,0,0,0,0,0,0,0,0%,
18,2019,2019-09-15,2,2,22.251,BAL,,ARI,W 23-17,*,24,16,64.86,0,0,0,104.8,0.0,7.50,8.43,0,0,0,0,0,0,0,0,0,0,0,0%,
19,2019,2019-09-22,3,3,22.258,BAL,@,KAN,L 28-33,*,22,8,51.16,0,0,0,70.6,0.0,5.75,6.21,6,0,0,0,0,0,0,0,0,0,0,0%,
20,2019,2019-09-29,4,4,22.265,BAL,,CLE,L 25-40,*,24,9,70.59,-3,0,2,96.1,0.0,7.33,6.38,0,0,0,0,0,0,1,0,0,0,0,0%,
21,2019,2019-10-06,5,5,22.272,BAL,@,PIT,W 26-23,*,19,14,67.86,0,0,3,54.9,0.0,5.00,1.64,0,0,0,0,0,0,1,0,0,1,0,0%,
22,2019,2019-10-13,6,6,22.279,BAL,,CIN,W 23-17,*,21,19,63.64,0,0,0,84.9,0.0,8.00,7.15,6,0,0,0,0,0,0,0,0,0,0,0%,
23,2019,2019-10-20,7,7,22.286,BAL,@,SEA,W 30-16,*,9,14,45.00,0,0,0,69.4,0.0,8.29,7.15,6,0,0,0,0,0,2,0,0,0,0,0%,
24,2019,2019-11-03,8,9,22.300,BAL,,NWE,W 37-20,*,17,16,73.91,0,0,0,107.7,0.0,3.81,7.96,12,0,0,0,0,0,0,0,0,0,0,0%,
25,2019,2019-11-10,9,10,22.307,BAL,@,CIN,W 49-13,*,15,7,88.24,0,0,0,158.3,0.0,9.29,16.65,6,0,0,0,0,0,0,0,0,0,0,0%,
26,2019,2019-11-17,10,11,22.314,BAL,,HOU,W 41-7,*,17,10,70.83,0,0,0,139.2,0.0,7.90,12.58,0,0,0,0,0,0,0,0,0,0,0,0%,
27,2019,2019-11-25,11,12,22.322,BAL,@,LAR,W 45-6,*,15,8,75.00,0,0,0,139.4,0.0,11.88,13.45,0,0,0,0,0,0,1,0,0,1,0,0%,
28,2019,2019-12-01,12,13,22.328,BAL,,SFO,W 20-17,*,14,16,60.87,0,0,0,86.3,0.0,6.31,5.43,6,0,0,0,0,0,1,1,0,0,0,0%,
29,2019,2019-12-08,13,14,22.335,BAL,@,BUF,W 24-17,*,16,11,64.00,0,0,1,102.5,0.0,3.64,6.40,0,0,0,0,0,0,0,0,0,0,0,0%,
30,2019,2019-12-12,14,15,22.339,BAL,,NYJ,W 42-21,*,15,8,65.22,0,0,0,134.4,0.0,10.75,13.57,0,0,0,0,0,0,1,0,0,1,0,0%,
31,2019,2019-12-22,15,16,22.349,BAL,@,CLE,W 31-15,*,20,17,64.52,0,0,0,120.1,0.0,6.06,9.61,0,0,0,0,0,0,2,1,0,1,0,0%,
32,2019,2019-12-29,,17,,BAL,,PIT,W 28-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2020,2020-09-13,1,1,23.250,BAL,,CLE,W 38-6,*,20,7,80.00,0,0,0,152.1,0.0,6.43,13.40,0,0,0,0,0,0,1,0,0,0,0,0%,
34,2020,2020-09-20,2,2,23.257,BAL,@,HOU,W 33-16,*,18,16,75.00,0,0,0,113.9,0.0,3.38,9.33,0,0,0,0,0,0,0,0,0,0,0,0%,
35,2020,2020-09-28,3,3,23.265,BAL,,KAN,L 20-34,*,15,9,53.57,0,0,0,73.1,0.0,9.22,4.18,0,0,0,0,0,0,2,1,0,0,0,0%,
36,2020,2020-10-04,4,4,23.271,BAL,@,WAS,W 31-17,*,14,7,66.67,0,0,1,107.8,0.0,7.57,8.95,6,0,0,0,0,0,0,0,0,0,0,0%,
37,2020,2020-10-11,5,5,23.278,BAL,,CIN,W 27-3,*,19,2,51.35,0,0,1,71.9,0.0,1.50,4.73,0,0,0,0,0,0,0,0,0,0,0,0%,
38,2020,2020-10-18,6,6,23.285,BAL,@,PHI,W 30-28,*,16,9,59.26,0,0,0,92.5,0.0,12.00,7.63,6,0,0,0,0,0,0,0,0,0,0,0%,
39,2020,2020-11-01,7,8,23.299,BAL,,PIT,L 24-28,*,13,16,46.43,0,0,2,65.8,0.0,4.06,5.64,0,0,0,0,0,0,3,2,0,1,0,0%,
40,2020,2020-11-08,8,9,23.306,BAL,@,IND,W 24-10,*,19,13,82.61,0,0,0,97.5,0.0,4.46,7.39,6,0,0,0,0,0,0,0,0,0,0,0%,
41,2020,2020-11-15,9,10,23.313,BAL,@,NWE,L 17-23,*,24,11,70.59,0,0,1,98.8,0.0,5.00,7.18,0,0,0,0,0,0,0,0,0,2,0,0%,
42,2020,2020-11-22,10,11,23.320,BAL,,TEN,L 24-30,*,17,13,58.62,0,0,1,74.8,0.0,3.92,5.55,0,0,0,0,0,0,0,0,0,0,0,0%,
43,2020,2020-12-02,11,12,,BAL,@,PIT,L 14-19,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
44,2020,2020-12-08,12,13,23.336,BAL,,DAL,W 34-17,*,12,13,70.59,-8,0,1,101.8,0.0,7.23,6.00,6,0,0,0,0,0,1,0,0,0,0,0%,
45,2020,2020-12-14,13,14,23.342,BAL,@,CLE,W 47-42,*,11,9,64.71,0,0,0,115.6,0.0,13.78,10.76,12,0,0,0,0,0,0,0,0,0,0,0%,
46,2020,2020-12-20,14,15,23.348,BAL,,JAX,W 40-14,*,17,10,77.27,0,0,1,133.1,0.0,3.50,11.73,6,0,0,0,0,0,2,0,0,1,0,0%,
47,2020,2020-12-27,15,16,23.355,BAL,,NYG,W 27-13,*,17,13,65.38,-1,0,0,111.5,0.0,6.15,8.58,0,0,0,0,0,0,1,1,0,0,0,0%,
48,2020,2021-01-03,16,17,23.362,BAL,@,CIN,W 38-3,*,10,11,55.56,0,0,1,91.0,0.0,8.82,7.11,0,0,0,0,0,0,0,0,0,0,0,0%,
49,2021,2021-09-13,1,1,24.249,BAL,@,LVR,L 27-33,*,19,12,63.33,4,0,0,98.6,0.0,7.17,8.50,0,0,0,0,0,0,3,2,0,1,0,0%,
50,2021,2021-09-19,2,2,24.255,BAL,,KAN,W 36-35,*,18,16,69.23,0,0,2,78.8,0.0,6.69,6.50,12,0,0,0,0,0,0,0,0,0,0,0%,
51,2021,2021-09-26,3,3,24.262,BAL,@,DET,W 19-17,*,16,7,51.61,5,0,1,81.0,0.0,8.29,8.45,0,0,0,0,0,0,1,0,0,1,0,0%,
52,2021,2021-10-03,4,4,24.269,BAL,@,DEN,W 23-7,*,22,7,59.46,0,0,0,96.2,0.0,4.00,9.08,0,0,0,0,0,0,0,0,0,0,0,0%,
53,2021,2021-10-11,5,5,24.277,BAL,,IND,W 31-25,*,37,14,86.05,0,0,0,140.5,0.0,4.43,12.14,0,0,0,0,0,0,1,1,0,0,0,0%,
54,2021,2021-10-17,6,6,24.283,BAL,,LAC,W 34-6,*,19,8,70.37,0,0,2,68.0,0.0,6.38,3.59,0,0,0,0,0,0,0,0,0,0,0,0%,
55,2021,2021-10-24,7,7,24.290,BAL,,CIN,L 17-41,*,15,12,48.39,0,0,0,87.7,0.0,7.33,8.94,0,0,0,0,0,0,0,0,0,0,0,0%,
56,2021,2021-11-07,8,9,24.304,BAL,,MIN,W 34-31,*,27,21,65.85,0,0,2,88.1,0.0,5.71,5.76,0,0,0,0,0,0,0,0,0,0,0,0%,
57,2021,2021-11-11,9,10,24.308,BAL,@,MIA,L 10-22,*,26,9,60.47,0,0,1,73.6,0.0,4.33,4.95,0,0,0,0,0,0,0,0,0,0,0,0%,
58,2021,2021-11-21,10,11,,BAL,@,CHI,W 16-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,2021,2021-11-28,11,12,24.325,BAL,,CLE,W 16-10,*,20,17,62.50,0,0,4,46.5,0.0,4.00,0.16,0,0,0,0,0,0,0,0,0,0,0,0%,
60,2021,2021-12-05,12,13,24.332,BAL,@,PIT,L 19-20,*,23,8,62.16,0,0,1,80.1,0.0,6.88,6.16,0,0,0,0,0,0,1,0,0,0,0,0%,
61,2021,2021-12-12,13,14,24.339,BAL,@,CLE,L 22-24,*,4,2,100.00,0,0,0,84.4,0.0,2.50,4.25,0,0,0,0,0,0,0,0,0,0,0,0%,
62,2021,2021-12-19,14,15,,BAL,,GNB,L 30-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,2021,2021-12-26,15,16,,BAL,@,CIN,L 21-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,2021,2022-01-02,16,17,,BAL,,LAR,L 19-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,2021,2022-01-09,17,18,,BAL,,PIT,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,2022,2022-09-11,1,1,25.247,BAL,@,NYJ,W 24-9,*,17,6,56.67,0,0,1,98.3,0.0,2.83,7.60,0,0,0,0,0,0,0,0,0,0,0,0%,
67,2022,2022-09-18,2,2,25.254,BAL,,MIA,L 38-42,*,21,9,72.41,-5,0,0,142.6,0.0,13.22,13.03,6,0,0,0,0,0,1,0,0,0,0,0%,
68,2022,2022-09-25,3,3,25.261,BAL,@,NWE,W 37-26,*,18,11,62.07,0,0,1,110.3,0.0,9.73,8.72,6,0,0,0,0,0,0,0,0,0,0,0%,
69,2022,2022-10-02,4,4,25.268,BAL,,BUF,L 20-23,*,20,11,68.97,0,0,2,63.0,0.0,6.64,2.55,0,1,0,1,0,0,0,0,0,0,0,0%,
70,2022,2022-10-09,5,5,25.275,BAL,,CIN,W 19-17,*,19,12,59.38,0,0,1,71.6,0.0,4.83,4.66,0,0,0,0,0,0,0,0,0,0,0,0%,
71,2022,2022-10-16,6,6,25.282,BAL,@,NYG,L 20-24,*,17,7,53.13,0,0,1,71.1,0.0,11.00,5.78,0,0,0,0,0,0,2,1,0,1,0,0%,
72,2022,2022-10-23,7,7,25.289,BAL,,CLE,W 23-20,*,9,10,56.25,0,0,0,80.2,0.0,5.90,7.50,0,0,0,0,0,0,0,0,0,0,0,0%,
73,2022,2022-10-27,8,8,25.293,BAL,@,TAM,W 27-22,*,27,9,71.05,0,0,0,104.9,0.0,4.78,7.32,0,0,0,0,0,0,0,0,0,0,0,0%,
74,2022,2022-11-07,9,9,25.304,BAL,@,NOR,W 27-13,*,12,11,54.55,0,0,0,87.9,0.0,7.45,6.95,0,0,0,0,0,0,1,0,0,1,0,0%,
75,2022,2022-11-20,10,11,25.317,BAL,,CAR,W 13-3,*,24,11,72.73,0,0,1,76.5,0.0,2.82,4.97,6,0,0,0,0,0,0,0,0,0,0,0%,
76,2022,2022-11-27,11,12,25.324,BAL,@,JAX,L 27-28,*,16,14,50.00,0,0,0,87.2,0.0,6.36,8.56,0,0,0,0,0,0,1,1,0,0,0,0%,
77,2022,2022-12-04,12,13,25.331,BAL,,DEN,W 10-9,*,3,1,75.00,0,0,0,77.1,0.0,9.00,2.75,0,0,0,0,0,0,0,0,0,0,0,0%,
78,2022,2022-12-11,13,14,,BAL,@,PIT,W 16-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,2022,2022-12-17,14,15,,BAL,@,CLE,L 3-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,2022,2022-12-24,15,16,,BAL,,ATL,W 17-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,2022,2023-01-01,16,17,,BAL,,PIT,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,2022,2023-01-08,17,18,,BAL,@,CIN,L 16-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
83,2023,2023-09-10,1,1,26.246,BAL,,HOU,W 25-9,*,17,6,77.27,0,0,1,79.5,0.0,6.33,5.64,0,0,0,0,0,0,2,1,0,0,0,0%,
84,2023,2023-09-17,2,2,26.253,BAL,@,CIN,W 27-24,*,24,12,72.73,0,0,0,112.8,0.0,4.50,8.39,0,0,0,0,0,0,0,0,0,0,0,0%,
85,2023,2023-09-24,3,3,26.260,BAL,,IND,L 19-22,*,22,14,70.97,0,0,0,88.4,0.0,7.21,6.52,12,0,0,0,0,0,2,1,0,2,0,0%,
86,2023,2023-10-01,4,4,26.267,BAL,@,CLE,W 28-3,*,15,9,78.95,-3,0,0,142.5,0.0,3.00,11.89,12,0,0,0,0,0,2,1,0,1,0,0%,
1,2018,2019-01-06,17,18,21.364,BAL,,LAC,L 17-23,*,14,9,48.28,0,0%,1,78.8,3,6.00,6.52,0,1,0,0,-14,0,61,100%,0,0%,N/A,N/A,N/A
2,2019,2020-01-11,17,19,23.004,BAL,,TEN,L 12-28,*,31,20,52.54,0,0%,2,63.2,1,7.15,5.00,0,1,0,0,0,0,94,100%,0,0%,N/A,N/A,N/A
3,2020,2021-01-10,17,18,24.003,BAL,@,TEN,W 20-13,*,17,16,70.83,0,0%,1,74.8,0,8.50,5.58,6,0,0,0,0,0,65,100%,0,0%,N/A,N/A,N/A
4,2020,2021-01-16,19,19,24.009,BAL,@,BUF,L 3-17,*,14,9,58.33,0,0%,1,61.5,1,3.78,4.88,0,0,0,3,0,0,56,74%,0,0%,N/A,N/A,N/A
5,2022,2023-01-15,18,19,,BAL,@,CIN,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
